Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2020,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,19721,146724,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
2021,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,20443,160273,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
2022,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,21193,169544,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
2023,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,21969,179267,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
2024,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,22774,189480,Low,Medium,High,High,95.0,High,1.6666666666666667,No,61.2,Medium,Distributor / Channel Finance
2025,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,23609,225230,Low,Medium,High,High,95.0,High,1.6666666666666667,No,63.18,Medium,Distributor / Channel Finance
2016,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,16477,148293,High,High,Livestock & Dairy,High,95.0,High,2.0,Yes,64.22,Medium,Payables Finance
2017,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,17320,155880,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,67.0,Medium,Payables Finance
2018,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,18206,182060,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,67.0,Medium,Payables Finance
2019,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,19137,191370,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,67.0,Medium,Payables Finance
2020,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,20115,187070,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,67.0,Medium,Payables Finance
2021,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,21144,227932,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,68.98,Medium,Payables Finance
2022,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,22225,244475,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,68.98,Medium,Payables Finance
2023,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,23362,285951,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,68.98,Medium,Payables Finance
2024,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,24557,306471,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,68.98,Medium,Payables Finance
2025,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,25812,355689,High,High,Livestock & Dairy,High,95.0,High,2.3333333333333335,Yes,68.98,Medium,Payables Finance
2016,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,10067,80536,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,53.85,Medium,Distributor / Channel Finance
2017,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,10539,84312,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,53.85,Medium,Distributor / Channel Finance
2018,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,11034,88272,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,55.72,Medium,Distributor / Channel Finance
2019,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,11552,103968,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,55.72,Medium,Distributor / Channel Finance
2020,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,12094,101227,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,55.72,Medium,Distributor / Channel Finance
2021,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,12662,111679,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,55.72,Medium,Distributor / Channel Finance
2022,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,13256,132560,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,55.72,Medium,Distributor / Channel Finance
2023,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,13878,141556,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,55.72,Medium,Distributor / Channel Finance
2024,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,14530,151112,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,55.72,Medium,Distributor / Channel Finance
2025,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,15212,177372,Low,Medium,Medium,High,90.0,High,1.3333333333333333,No,55.72,Medium,Distributor / Channel Finance
2016,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,24785,421345,Low,Medium,High,High,75.0,High,1.6666666666666667,Yes,66.4,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,23274,395658,Low,Medium,High,High,75.0,High,1.6666666666666667,Yes,66.4,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,21856,393408,Low,Medium,High,High,75.0,High,1.6666666666666667,Yes,66.4,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,20525,369450,Low,Medium,High,High,75.0,High,1.6666666666666667,Yes,66.4,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,19274,322647,Low,Medium,High,High,75.0,High,1.6666666666666667,Yes,66.4,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,18100,337022,Low,Medium,High,High,75.0,High,1.6666666666666667,Yes,66.4,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,16997,322943,Low,Medium,High,High,75.0,High,1.6666666666666667,Yes,66.4,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,15961,325604,Low,Medium,High,High,75.0,High,1.3333333333333333,Yes,63.52,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,14989,311771,Low,Medium,High,High,75.0,High,1.3333333333333333,Yes,63.52,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,14075,313310,Low,Medium,High,High,75.0,High,1.3333333333333333,Yes,63.52,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11125,122375,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2017,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,10900,119900,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2018,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11125,133500,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2019,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11355,136260,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2020,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11589,129333,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2021,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11828,150689,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2022,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,12073,156949,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2023,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,12322,175958,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2024,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,12576,183107,High,High,High,High,65.0,Medium,2.3333333333333335,No,70.25,High,"Receivables Discounting / Factoring, PO Finance"
2025,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,12836,204092,High,High,High,High,65.0,Medium,2.3333333333333335,No,72.23,High,"Receivables Discounting / Factoring, PO Finance"
2016,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,4609,69135,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.3,Medium,Debt‑Based Financing
2017,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,4779,71685,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.3,Medium,Debt‑Based Financing
2018,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,4955,79280,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.3,Medium,Debt‑Based Financing
2019,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5138,82208,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.3,Medium,Debt‑Based Financing
2020,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5328,79281,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,66.3,Medium,Debt‑Based Financing
2021,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5525,92046,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,68.28,Medium,Debt‑Based Financing
2022,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5729,97393,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,68.28,Medium,Debt‑Based Financing
2023,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5940,109058,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,68.28,Medium,Debt‑Based Financing
2024,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,6160,115315,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,68.28,Medium,Debt‑Based Financing
2025,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,6387,128634,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,68.28,Medium,Debt‑Based Financing
2016,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,5710,114200,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,5921,118420,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,6138,128898,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,6365,133665,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,6599,128878,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,6842,147514,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,7094,156068,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,7355,172548,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,7626,182414,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,65.18,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Oil & Gas / Chemicals,Yes,Minerals,7906,201129,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,67.17,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,15237,228555,High,High,High,High,75.0,High,2.0,Yes,68.35,Medium,Distributor / Channel Finance
2017,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,14636,219540,High,High,High,High,75.0,High,2.0,Yes,68.35,Medium,Distributor / Channel Finance
2018,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,15237,243792,High,High,High,High,75.0,High,2.0,Yes,68.35,Medium,Distributor / Channel Finance
2019,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,15863,253808,High,High,High,High,75.0,High,2.0,Yes,68.35,Medium,Distributor / Channel Finance
2020,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,16514,245728,High,High,High,High,75.0,High,2.0,Yes,68.35,Medium,Distributor / Channel Finance
2021,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,17193,286435,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.13,High,Distributor / Channel Finance
2022,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,17898,304266,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.13,High,Distributor / Channel Finance
2023,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,18633,342102,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.13,High,Distributor / Channel Finance
2024,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,19398,363131,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.13,High,Distributor / Channel Finance
2025,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,20195,406727,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.13,High,Distributor / Channel Finance
2016,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,64579,452053,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2017,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,66279,463953,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2018,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,68025,476175,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2019,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,69816,558528,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2020,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,71655,533113,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2021,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,73542,576569,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2022,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,75478,603824,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2023,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,77466,632123,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2024,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,79506,661490,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2025,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,81599,778454,High,High,High,High,75.0,High,2.3333333333333335,No,71.12,High,Distributor / Channel Finance
2016,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,8846,61922,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,62.63,Medium,PO Finance + Inventory Finance
2017,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,9081,63567,High,High,Medium,Medium,40.0,Low,2.3333333333333335,Yes,62.63,Medium,PO Finance + Inventory Finance
2018,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,9322,65254,High,High,Medium,Medium,40.0,Low,2.6666666666666665,Yes,65.52,Medium,PO Finance + Inventory Finance
2019,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,9570,76560,High,High,Medium,Medium,40.0,Low,2.6666666666666665,Yes,65.52,Medium,PO Finance + Inventory Finance
2020,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,9825,73098,High,High,Medium,Medium,40.0,Low,2.6666666666666665,Yes,65.52,Medium,PO Finance + Inventory Finance
2021,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,10086,79074,High,High,Medium,Medium,40.0,Low,2.6666666666666665,Yes,65.52,Medium,PO Finance + Inventory Finance
2022,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,10355,82840,High,High,Medium,Medium,40.0,Low,2.6666666666666665,Yes,65.52,Medium,PO Finance + Inventory Finance
2023,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,10630,97583,High,High,Medium,Medium,40.0,Low,2.6666666666666665,Yes,67.5,Medium,PO Finance + Inventory Finance
2024,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,10913,102146,High,High,Medium,Medium,40.0,Low,2.6666666666666665,Yes,67.5,Medium,PO Finance + Inventory Finance
2025,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Rice,11203,118752,High,High,Medium,Medium,40.0,Low,2.6666666666666665,Yes,67.5,Medium,PO Finance + Inventory Finance
2016,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3339,60102,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,65.47,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3433,61794,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,65.47,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3530,67070,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,65.47,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3629,68951,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,65.47,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3732,65944,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,65.47,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3837,75205,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,65.47,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3945,78900,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,65.47,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,4057,86901,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,67.33,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,4171,91095,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,67.33,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,4289,100019,Medium,Medium,Medium,High,50.0,Medium,1.6666666666666667,Yes,67.33,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11024,77168,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,60.4,Medium,PO Finance + Inventory Finance
2017,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11463,80241,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,60.4,Medium,PO Finance + Inventory Finance
2018,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11920,83440,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,60.4,Medium,PO Finance + Inventory Finance
2019,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,12394,99152,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,62.38,Medium,PO Finance + Inventory Finance
2020,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,12888,95887,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,62.38,Medium,PO Finance + Inventory Finance
2021,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,13401,105064,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,62.38,Medium,PO Finance + Inventory Finance
2022,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,13934,111472,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,62.38,Medium,PO Finance + Inventory Finance
2023,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,14489,133009,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,62.38,Medium,PO Finance + Inventory Finance
2024,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,15066,141018,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,62.38,Medium,PO Finance + Inventory Finance
2025,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,15665,166049,Medium,Medium,Medium,High,50.0,Medium,2.0,Yes,62.38,Medium,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9050,63350,High,High,Medium,High,40.0,Low,2.3333333333333335,Yes,66.27,Medium,PO Finance + Inventory Finance
2017,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9272,64904,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,69.15,Medium,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9500,66500,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,69.15,Medium,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9733,77864,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,69.15,Medium,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9972,74192,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,69.15,Medium,PO Finance + Inventory Finance
2021,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10217,80101,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,69.15,Medium,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10468,83744,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,69.15,Medium,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10725,98456,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,71.02,High,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10989,102857,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,71.02,High,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11259,119345,High,High,Medium,High,40.0,Low,2.6666666666666665,Yes,71.02,High,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Horticulture,13800,207000,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,14138,212070,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,14485,231760,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
