Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Estimated_Production_Volume,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2020,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,19721,146724,High,Medium,High,High,95.0,High,66.67,5679648,No,61.0,Medium,Distributor / Channel Finance
2021,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,20443,160273,High,Medium,High,High,95.0,High,66.67,5887584,No,61.0,Medium,Distributor / Channel Finance
2022,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,21193,169544,High,Medium,High,High,95.0,High,66.67,6103584,No,61.0,Medium,Distributor / Channel Finance
2023,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,21969,179267,High,Medium,High,High,95.0,High,66.67,6327072,No,61.0,Medium,Distributor / Channel Finance
2024,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,22774,189480,High,Medium,High,High,95.0,High,66.67,6558912,No,61.0,Medium,Distributor / Channel Finance
2025,Sindh,Karachi Central,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Manufacturing & Trade,23609,225230,High,Medium,High,High,95.0,High,66.67,11473974,No,62.42,Medium,Distributor / Channel Finance
2016,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,16477,148293,High,High,Livestock & Dairy,High,95.0,High,58.33,5338548,Yes,58.87,Low,Payables Finance
2017,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,17320,155880,High,High,Livestock & Dairy,High,95.0,High,66.67,8417520,Yes,60.78,Medium,Payables Finance
2018,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,18206,182060,High,High,Livestock & Dairy,High,95.0,High,66.67,9831240,Yes,60.78,Medium,Payables Finance
2019,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,19137,191370,High,High,Livestock & Dairy,High,95.0,High,66.67,10333980,Yes,60.78,Medium,Payables Finance
2020,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,20115,187070,High,High,Livestock & Dairy,High,95.0,High,66.67,10862100,Yes,60.78,Medium,Payables Finance
2021,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,21144,227932,High,High,Livestock & Dairy,High,95.0,High,66.67,18839304,Yes,62.2,Medium,Payables Finance
2022,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,22225,244475,High,High,Livestock & Dairy,High,95.0,High,66.67,19802475,Yes,62.2,Medium,Payables Finance
2023,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,23362,285951,High,High,Livestock & Dairy,High,95.0,High,66.67,22707864,Yes,62.2,Medium,Payables Finance
2024,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,24557,306471,High,High,Livestock & Dairy,High,95.0,High,66.67,23869404,Yes,62.2,Medium,Payables Finance
2025,Sindh,Karachi East,Information Technology (IT),Information Technology (IT),Yes,IT & Services,25812,355689,High,High,Livestock & Dairy,High,95.0,High,66.67,27180036,Yes,62.2,Medium,Payables Finance
2016,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,10067,80536,High,Medium,Medium,High,90.0,High,58.33,966432,No,55.15,Low,Distributor / Channel Finance
2017,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,10539,84312,High,Medium,Medium,High,90.0,High,58.33,1011744,No,55.15,Low,Distributor / Channel Finance
2018,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,11034,88272,High,Medium,Medium,High,90.0,High,58.33,2118528,No,56.57,Low,Distributor / Channel Finance
2019,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,11552,103968,High,Medium,Medium,High,90.0,High,58.33,2495232,No,56.57,Low,Distributor / Channel Finance
2020,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,12094,101227,High,Medium,Medium,High,90.0,High,58.33,2612304,No,56.57,Low,Distributor / Channel Finance
2021,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,12662,111679,High,Medium,Medium,High,90.0,High,58.33,2734992,No,56.57,Low,Distributor / Channel Finance
2022,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,13256,132560,High,Medium,Medium,High,90.0,High,58.33,3181440,No,56.57,Low,Distributor / Channel Finance
2023,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,13878,141556,High,Medium,Medium,High,90.0,High,58.33,3330720,No,56.57,Low,Distributor / Channel Finance
2024,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,14530,151112,High,Medium,Medium,High,90.0,High,58.33,3487200,No,56.57,Low,Distributor / Channel Finance
2025,Sindh,Karachi South,Professional Services,Professional Services,Yes,Trade,15212,177372,High,Medium,Medium,High,90.0,High,58.33,4015968,No,56.57,Low,Distributor / Channel Finance
2016,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,24785,421345,High,Medium,High,High,75.0,High,75.0,22752630,Yes,75.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,23274,395658,High,Medium,High,High,75.0,High,75.0,21365532,Yes,75.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,21856,393408,High,Medium,High,High,75.0,High,75.0,21244032,Yes,75.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,20525,369450,High,Medium,High,High,75.0,High,75.0,19950300,Yes,75.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,19274,322647,High,Medium,High,High,75.0,High,75.0,18734328,Yes,75.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,18100,337022,High,Medium,High,High,75.0,High,75.0,18570600,Yes,75.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,16997,322943,High,Medium,High,High,75.0,High,75.0,17438922,Yes,75.72,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,15961,325604,High,Medium,High,High,75.0,High,66.67,11491920,Yes,73.8,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,14989,311771,High,Medium,High,High,75.0,High,66.67,10792080,Yes,73.8,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Sindh,Karachi West,Manufacturing,Manufacturing,Yes,Manufacturing,14075,313310,High,Medium,High,High,75.0,High,66.67,10640700,Yes,73.8,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11125,122375,High,High,High,High,65.0,Medium,75.0,4405500,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2017,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,10900,119900,High,High,High,High,65.0,Medium,75.0,4316400,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2018,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11125,133500,High,High,High,High,65.0,Medium,75.0,4806000,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2019,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11355,136260,High,High,High,High,65.0,Medium,75.0,4905360,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2020,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11589,129333,High,High,High,High,65.0,Medium,75.0,5006448,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2021,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,11828,150689,High,High,High,High,65.0,Medium,75.0,5535504,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2022,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,12073,156949,High,High,High,High,65.0,Medium,75.0,5650164,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2023,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,12322,175958,High,High,High,High,65.0,Medium,75.0,6210288,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2024,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,12576,183107,High,High,High,High,65.0,Medium,75.0,6338304,No,64.27,Medium,"Receivables Discounting / Factoring, PO Finance"
2025,Sindh,Kemari,Transport & Logistics,Transport & Logistics,Yes,Logistics,12836,204092,High,High,High,High,65.0,Medium,75.0,10397160,No,65.68,Medium,"Receivables Discounting / Factoring, PO Finance"
2016,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,4609,69135,Medium,High,Low,Medium,25.0,Low,75.0,414810,Yes,58.98,Low,Debt‑Based Financing
2017,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,4779,71685,Medium,High,Low,Medium,25.0,Low,75.0,430110,Yes,58.98,Low,Debt‑Based Financing
2018,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,4955,79280,Medium,High,Low,Medium,25.0,Low,75.0,475680,Yes,58.98,Low,Debt‑Based Financing
2019,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5138,82208,Medium,High,Low,Medium,25.0,Low,75.0,493248,Yes,58.98,Low,Debt‑Based Financing
2020,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5328,79281,Medium,High,Low,Medium,25.0,Low,75.0,511488,Yes,58.98,Low,Debt‑Based Financing
2021,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5525,92046,Medium,High,Low,Medium,25.0,Low,75.0,1127100,Yes,60.32,Medium,Debt‑Based Financing
2022,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5729,97393,Medium,High,Low,Medium,25.0,Low,75.0,1168716,Yes,60.32,Medium,Debt‑Based Financing
2023,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,5940,109058,Medium,High,Low,Medium,25.0,Low,75.0,1283040,Yes,60.32,Medium,Debt‑Based Financing
2024,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,6160,115315,Medium,High,Low,Medium,25.0,Low,75.0,1330560,Yes,60.32,Medium,Debt‑Based Financing
2025,Balochistan,Khuzdar,Mining & Minerals,Mining & Minerals,Yes,Mining,6387,128634,Medium,High,Low,Medium,25.0,Low,75.0,1456236,Yes,60.32,Medium,Debt‑Based Financing
2016,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,5710,114200,Medium,High,Medium,Medium,40.0,Low,66.67,1370400,Yes,57.55,Low,Debt‑Based Financing
2017,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,5921,118420,Medium,High,Medium,Medium,40.0,Low,66.67,1421040,Yes,57.55,Low,Debt‑Based Financing
2018,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,6138,128898,Medium,High,Medium,Medium,40.0,Low,66.67,1546776,Yes,57.55,Low,Debt‑Based Financing
2019,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,6365,133665,Medium,High,Medium,Medium,40.0,Low,66.67,1603980,Yes,57.55,Low,Debt‑Based Financing
2020,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,6599,128878,Medium,High,Medium,Medium,40.0,Low,66.67,1662948,Yes,57.55,Low,Debt‑Based Financing
2021,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,6842,147514,Medium,High,Medium,Medium,40.0,Low,66.67,1806288,Yes,57.55,Low,Debt‑Based Financing
2022,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,7094,156068,Medium,High,Medium,Medium,40.0,Low,66.67,1872816,Yes,57.55,Low,Debt‑Based Financing
2023,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,7355,172548,Medium,High,Medium,Medium,40.0,Low,66.67,2029980,Yes,57.55,Low,Debt‑Based Financing
2024,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,7626,182414,Medium,High,Medium,Medium,40.0,Low,66.67,2104776,Yes,57.55,Low,Debt‑Based Financing
2025,Khyber Pakhtunkhwa,Kohat,Oil & Gas / Chemicals,Mining and Mineral Extraction,Yes,Minerals,7906,201129,Medium,High,Medium,Medium,40.0,Low,66.67,3415392,Yes,58.97,Low,Debt‑Based Financing
2016,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,15237,228555,High,High,High,High,75.0,High,58.33,12341970,Yes,62.43,Medium,Distributor / Channel Finance
2017,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,14636,219540,High,High,High,High,75.0,High,58.33,11855160,Yes,62.43,Medium,Distributor / Channel Finance
2018,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,15237,243792,High,High,High,High,75.0,High,58.33,13164768,Yes,62.43,Medium,Distributor / Channel Finance
2019,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,15863,253808,High,High,High,High,75.0,High,58.33,13705632,Yes,62.43,Medium,Distributor / Channel Finance
2020,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,16514,245728,High,High,High,High,75.0,High,58.33,14268096,Yes,62.43,Medium,Distributor / Channel Finance
2021,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,17193,286435,High,High,High,High,75.0,High,66.67,23674761,Yes,64.35,Medium,Distributor / Channel Finance
2022,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,17898,304266,High,High,High,High,75.0,High,66.67,24645546,Yes,64.35,Medium,Distributor / Channel Finance
2023,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,18633,342102,High,High,High,High,75.0,High,66.67,27166914,Yes,64.35,Medium,Distributor / Channel Finance
2024,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,19398,363131,High,High,High,High,75.0,High,66.67,28282284,Yes,64.35,Medium,Distributor / Channel Finance
2025,Sindh,Korangi,Textile & Apparel,Textile & Apparel,Yes,Manufacturing & Trade,20195,406727,High,High,High,High,75.0,High,66.67,31080105,Yes,64.35,Medium,Distributor / Channel Finance
2016,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,64579,452053,High,High,High,High,75.0,High,66.67,36616293,No,74.33,Medium,Distributor / Channel Finance
2017,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,66279,463953,High,High,High,High,75.0,High,66.67,37580193,No,74.33,Medium,Distributor / Channel Finance
2018,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,68025,476175,High,High,High,High,75.0,High,66.67,38570175,No,74.33,Medium,Distributor / Channel Finance
2019,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,69816,558528,High,High,High,High,75.0,High,66.67,45240768,No,74.33,Medium,Distributor / Channel Finance
2020,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,71655,533113,High,High,High,High,75.0,High,66.67,46432440,No,74.33,Medium,Distributor / Channel Finance
2021,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,73542,576569,High,High,High,High,75.0,High,66.67,47655216,No,74.33,Medium,Distributor / Channel Finance
2022,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,75478,603824,High,High,High,High,75.0,High,66.67,48909744,No,74.33,Medium,Distributor / Channel Finance
2023,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,77466,632123,High,High,High,High,75.0,High,66.67,50197968,No,74.33,Medium,Distributor / Channel Finance
2024,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,79506,661490,High,High,High,High,75.0,High,66.67,51519888,No,74.33,Medium,Distributor / Channel Finance
2025,Punjab,Lahore,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,IT & Services,81599,778454,High,High,High,High,75.0,High,66.67,59485671,No,74.33,Medium,Distributor / Channel Finance
2016,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,8846,61922,Medium,High,Medium,Medium,40.0,Low,75.0,371532,Yes,55.73,Low,PO Finance + Inventory Finance
2017,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9081,63567,Medium,High,Medium,Medium,40.0,Low,75.0,381402,Yes,55.73,Low,PO Finance + Inventory Finance
2018,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9322,65254,Medium,High,Medium,Medium,40.0,Low,83.33,783048,Yes,57.57,Low,PO Finance + Inventory Finance
2019,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9570,76560,Medium,High,Medium,Medium,40.0,Low,83.33,918720,Yes,57.57,Low,PO Finance + Inventory Finance
2020,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9825,73098,Medium,High,Medium,Medium,40.0,Low,83.33,943200,Yes,57.57,Low,PO Finance + Inventory Finance
2021,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10086,79074,Medium,High,Medium,Medium,40.0,Low,83.33,968256,Yes,57.57,Low,PO Finance + Inventory Finance
2022,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10355,82840,Medium,High,Medium,Medium,40.0,Low,83.33,994080,Yes,57.57,Low,PO Finance + Inventory Finance
2023,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10630,97583,Medium,High,Medium,Medium,40.0,Low,83.33,2296080,Yes,58.98,Low,PO Finance + Inventory Finance
2024,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10913,102146,Medium,High,Medium,Medium,40.0,Low,83.33,2357208,Yes,58.98,Low,PO Finance + Inventory Finance
2025,Sindh,Larkana,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11203,118752,Medium,High,Medium,Medium,40.0,Low,83.33,2688720,Yes,58.98,Low,PO Finance + Inventory Finance
2016,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3339,60102,Medium,Medium,Medium,High,50.0,Medium,66.67,240408,Yes,71.95,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3433,61794,Medium,Medium,Medium,High,50.0,Medium,66.67,247176,Yes,71.95,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3530,67070,Medium,Medium,Medium,High,50.0,Medium,66.67,268280,Yes,71.95,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3629,68951,Medium,Medium,Medium,High,50.0,Medium,66.67,275804,Yes,71.95,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3732,65944,Medium,Medium,Medium,High,50.0,Medium,66.67,283632,Yes,71.95,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3837,75205,Medium,Medium,Medium,High,50.0,Medium,66.67,306960,Yes,71.95,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,3945,78900,Medium,Medium,Medium,High,50.0,Medium,66.67,315600,Yes,71.95,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,4057,86901,Medium,Medium,Medium,High,50.0,Medium,66.67,681576,Yes,73.28,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,4171,91095,Medium,Medium,Medium,High,50.0,Medium,66.67,700728,Yes,73.28,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Balochistan,Lasbela,Chemicals & Plastics,Chemicals & Plastics,Yes,Livestock & Dairy,4289,100019,Medium,Medium,Medium,High,50.0,Medium,66.67,754864,Yes,73.28,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11024,77168,High,Medium,Medium,High,50.0,Medium,75.0,926016,Yes,62.88,Medium,PO Finance + Inventory Finance
2017,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11463,80241,High,Medium,Medium,High,50.0,Medium,75.0,962892,Yes,62.88,Medium,PO Finance + Inventory Finance
2018,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11920,83440,High,Medium,Medium,High,50.0,Medium,75.0,1001280,Yes,62.88,Medium,PO Finance + Inventory Finance
2019,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,12394,99152,High,Medium,Medium,High,50.0,Medium,75.0,2379648,Yes,64.3,Medium,PO Finance + Inventory Finance
2020,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,12888,95887,High,Medium,Medium,High,50.0,Medium,75.0,2474496,Yes,64.3,Medium,PO Finance + Inventory Finance
2021,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,13401,105064,High,Medium,Medium,High,50.0,Medium,75.0,2572992,Yes,64.3,Medium,PO Finance + Inventory Finance
2022,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,13934,111472,High,Medium,Medium,High,50.0,Medium,75.0,2675328,Yes,64.3,Medium,PO Finance + Inventory Finance
2023,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,14489,133009,High,Medium,Medium,High,50.0,Medium,75.0,3129624,Yes,64.3,Medium,PO Finance + Inventory Finance
2024,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,15066,141018,High,Medium,Medium,High,50.0,Medium,75.0,3254256,Yes,64.3,Medium,PO Finance + Inventory Finance
2025,Sindh,Malir,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,15665,166049,High,Medium,Medium,High,50.0,Medium,75.0,3759600,Yes,64.3,Medium,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9050,63350,Medium,High,Medium,High,40.0,Low,75.0,380100,Yes,58.72,Low,PO Finance + Inventory Finance
2017,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9272,64904,Medium,High,Medium,High,40.0,Low,83.33,778848,Yes,60.63,Medium,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9500,66500,Medium,High,Medium,High,40.0,Low,83.33,798000,Yes,60.63,Medium,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9733,77864,Medium,High,Medium,High,40.0,Low,83.33,934368,Yes,60.63,Medium,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,9972,74192,Medium,High,Medium,High,40.0,Low,83.33,957312,Yes,60.63,Medium,PO Finance + Inventory Finance
2021,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10217,80101,Medium,High,Medium,High,40.0,Low,83.33,980832,Yes,60.63,Medium,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10468,83744,Medium,High,Medium,High,40.0,Low,83.33,1004928,Yes,60.63,Medium,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10725,98456,Medium,High,Medium,High,40.0,Low,83.33,2316600,Yes,62.05,Medium,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,10989,102857,Medium,High,Medium,High,40.0,Low,83.33,2373624,Yes,62.05,Medium,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Mansehra,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,11259,119345,Medium,High,Medium,High,40.0,Low,83.33,2702160,Yes,62.05,Medium,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,13800,207000,High,High,Medium,High,50.0,Medium,75.0,11178000,Yes,62.78,Medium,PO Finance + Inventory Finance
2017,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,14138,212070,High,High,Medium,High,50.0,Medium,75.0,11451780,Yes,62.78,Medium,PO Finance + Inventory Finance
2018,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,14485,231760,High,High,Medium,High,50.0,Medium,75.0,12515040,Yes,62.78,Medium,PO Finance + Inventory Finance
2019,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,14841,237456,High,High,Medium,High,50.0,Medium,75.0,12822624,Yes,62.78,Medium,PO Finance + Inventory Finance
2020,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,15205,226250,High,High,Medium,High,50.0,Medium,75.0,13137120,Yes,62.78,Medium,PO Finance + Inventory Finance
